title,link
"Why Trump made breakthrough in Gaza but can't with Putin over UkraineThe leaders' cancelled summit is just the latest twist in Trump's efforts to broker an end to the war, writes Anthony Zurcher.3 hrs agoWorld",https://bbc.com/news/articles/cx2y9je4d3go
"Stolen Louvre jewellery worth €88m, prosecutor saysThe historic items were taken in broad daylight and are now feared to have been broken down for parts.9 hrs agoEurope",https://bbc.com/news/articles/cj9722wlmj7o
"Why Trump made breakthrough in Gaza but can't with Putin over UkraineThe leaders' cancelled summit is just the latest twist in Trump's efforts to broker an end to the war, writes Anthony Zurcher.3 hrs agoWorld",https://bbc.com/news/articles/cx2y9je4d3go
"Stolen Louvre jewellery worth €88m, prosecutor saysThe historic items were taken in broad daylight and are now feared to have been broken down for parts.9 hrs agoEurope",https://bbc.com/news/articles/cj9722wlmj7o
Trump says he did not want 'wasted meeting' after plan for Putin talks shelved,https://bbc.com/news/articles/c4gjp73gp41o
"Who is paying for Trump's White House ballroom?A former White House chief ethics lawyer described the ballroom donations as an ethical ""nightmare"".5 hrs agoUS & Canada",https://bbc.com/news/articles/c891yxgj44ko
Pen pals from Canada and Singapore meet for the first time after 43 yearsThe two women began exchanging letters in 1983 through a school project and finally met in Newfoundland this week.4 hrs agoWorld,https://bbc.com/news/videos/c891yye223jo
"Australian PM defends ambassador to US after Trump run-inAnthony Albanese said his ambassador was doing a fantastic job and Trump's negative comments were ""banter"".1 hr agoAustralia",https://bbc.com/news/articles/cpv14jlm7dyo
Israel receives two bodies Hamas says are dead hostagesTwo coffins were handed over by Hamas to the Israeli military via the Red Cross in Gaza on Tuesday.7 hrs agoMiddle East,https://bbc.com/news/articles/cd675jygwp1o
"What it's like to live in the world's smartest citiesFrom AI-driven transport to seamless cashless living, these five city clusters top the Global Innovation Index for their cutting-edge technology and everyday ingenuity.",https://bbc.com/travel/article/20251020-what-its-like-to-live-in-the-worlds-smartest-cities
"Why 'masterpiece' One Battle After Another floppedPaul Thomas Anderson's political thriller, starring Leonardo DiCaprio, has been critically acclaimed and met with countless rave reviews, but despite that won't break even at the box office. Why?",https://bbc.com/culture/article/20251020-why-one-battle-after-another-flopped
More news,https://www.bbc.com/news
'A new sense of energy and hope': Singaporean women acquitted over pro-Palestinian walkSingapore has strict rules against protests and has effectively banned public gatherings related to the Israel-Gaza war.52 mins agoAsia,https://bbc.com/news/articles/cdxrqyq5qqro
"Japan's first female leader: A historic moment with caveatsSanae Takaichi, Japan's first female prime minister, is not known for progressive views on women's equality.15 hrs agoAsia",https://bbc.com/news/articles/cze6dgxlzwxo
Effects of antidepressants on physical health ranked for first timeFind out which to avoid if you are concerned about weight gain.4 hrs agoHealth,https://bbc.com/news/articles/c9d65nqgd5zo
"The £5.30 orange juice that shows why UK supermarket prices are sky-highButter, chocolate, coffee and milk have all seen prices rocket. Tracing back through the story of one particular supermarket staple begins to explain why4 hrs agoBBC InDepth",https://bbc.com/news/articles/c397n3jl3z8o
"Ukraine hits Russian chemical plant with UK-made Storm Shadow missilesThe Bryansk facility produced gunpowder, explosives and rocket fuel components, Ukraine's military says.3 hrs agoEurope",https://bbc.com/news/articles/crmxjverzzro
"Japan's first female leader: A historic moment with caveatsSanae Takaichi, Japan's first female prime minister, is not known for progressive views on women's equality.15 hrs agoAsia",https://bbc.com/news/articles/cze6dgxlzwxo
"Gaza ceasefire deal going better than expected, Vance saysThe US vice-president's visit comes after a flare-up of violence between Israel and Hamas that threatened to derail the 12-day-old truce.10 hrs agoWorld",https://bbc.com/news/articles/cd9k2dj37wqo
The deal that means Prince Andrew can still afford to live in Royal LodgeControversies around Andrew have thrown a spotlight on his living arrangements and how he can fund his lifestyle.14 hrs agoUK,https://bbc.com/news/articles/cgmx1gxv1e7o
Effects of antidepressants on physical health ranked for first timeFind out which to avoid if you are concerned about weight gain.4 hrs agoHealth,https://bbc.com/news/articles/c9d65nqgd5zo
Must watch,https://www.bbc.com/video
Is Trump allowed to demolish part of the White House to build a ballroom?Demolition work has begun on part of the White House to make way for President Trump's new ballroom.9 hrs agoUS & Canada,https://bbc.com/news/videos/cx2p045p1zpo
"Dozens of giant pumpkins hit the water for rowing raceThe 'squashbucklers' climbed into their hollowed out giant gourds, which are grown locally in the US state of Oregon.8 hrs agoUS & Canada",https://bbc.com/news/videos/cg7n0088e20o
A 'big moment' for France as Sarkozy jailedThe BBC's Paris Correspondent Hugh Scofield says the former French president will reside in a small cell.15 hrs agoEurope,https://bbc.com/news/videos/cn7evy5enrvo
'We're on a rollercoaster': A furloughed federal worker captures life on TikTokUS government employees affected by the ongoing shutdown are turning to social media to share how they are passing the unexpected free time.19 hrs agoUS & Canada,https://bbc.com/news/videos/crex81l182yo
"Trump to Australian ambassador: 'I don't like you either'In 2020, Kevin Rudd wrote on social media that he believed Trump was the 'most destructive' president in US history.1 day agoWorld",https://bbc.com/news/videos/c3971w1mxdlo
Prince Andrew's BBC Newsnight interview is back in the spotlight - watch key momentsThe prince was interviewed in 2019 about his friendship with convicted sex offender Jeffrey Epstein by BBC Newsnight's Emily Maitlis.1 day agoUK,https://bbc.com/news/videos/c07mkx9nz19o
The quirky hen racing championship in the UK's Peak DistrictThe Travel Show meets a flock of competitive hens battling for glory in Britain's first National Park.2 days agoThe Travel Show,https://bbc.com/reel/video/p0m8wqsj/the-quirky-hen-racing-championship-in-the-uk-s-peak-district
"Millions of Diwali lamps light up Indian town to set new world recordA record 2.6 million earthen lamps were lit on Sunday in Ayodhya, Uttar Pradesh.2 days agoAsia",https://bbc.com/news/videos/clyln2p7enxo
Travel,https://www.bbc.com/travel
"A US island with no cars and 600 horsesIn the midst of ""the car capital of the world"", there's a serene vehicle-free island home to 600 people and a once-upon-a-time way of life.See more",https://bbc.com/travel/article/20250425-the-us-island-where-cars-are-banned
Can you lose weight on an 'oatzempic' diet?Drugs like Ozempic have allowed many people to lose weight they were unable to shift before. Could a diet have the same effect without the need for a prescription?,https://bbc.com/future/article/20251003-is-it-possible-to-lose-weight-on-an-ozempic-diet
The microbes that control your sleepEmerging evidence suggests the bacteria living in your gut and mouth influence how you sleep at night. Scientists want to use them to help you rest better.,https://bbc.com/future/article/20250905-how-your-microbiome-affects-your-sleep
"How 20 minutes in nature can boost your healthSpending just 20 minutes in nature can lower blood pressure, heart rate and stress levels.",https://bbc.com/news/articles/cvg0yvdjgn5o
Earth,https://www.bbc.com/future-planet
"Why a Dutch nature project led to starving animalsIn 2018, thousands of dead animals lay strewn across a Dutch rewilding project. Was it animal cruelty or just nature taking its course?See more",https://bbc.com/future/article/20251016-the-dutch-rewilding-project-that-took-a-dark-turn
US & Canada news,https://www.bbc.com/news/us-canada
"Walmart halts job offers for H-1B visa candidatesWalmart is pausing hiring those who require H-1B visas in response to the Trump administration's new $100,000 fee.",https://bbc.com/news/articles/cnvez5v3ee7o
Pardoned Capitol rioter arrested for allegedly threatening to kill top Democrat,https://bbc.com/news/articles/cm2ej7ly369o
Sean 'Diddy' Combs says he plans to appeal sentence and conviction,https://bbc.com/news/articles/clykzv3y9pko
Appeals court allows Trump to deploy National Guard to Portland,https://bbc.com/news/articles/c201k3qky9lo
More world news,https://www.bbc.com/news/world
"Labubu maker sees sales soar after launch of mini version of toyThe Chinese company saw strong sales in overseas markets, especially in the US.",https://bbc.com/news/articles/cg51d0qql24o
British officers sent to Israel to help monitor Gaza ceasefire,https://bbc.com/news/articles/cly9jqzvzy9o
Colombian court overturns former president's conviction,https://bbc.com/news/articles/c629zz8gz5mo
Passengers jump from windows in fatal Ethiopia train crash,https://bbc.com/news/articles/clyl2gg2zx4o
Business,https://www.bbc.com/business
ChatGPT-maker OpenAI releases browser in attempt to rival GoogleChatGPT Atlas was unveiled as the company seeks new ways to corral users to its online offerings,https://bbc.com/news/articles/c07mz10m1k9o
UK gambling ads with Lewis Hamilton and Chelsea logo banned over influence on children,https://bbc.com/news/articles/c87413n7wj1o
Zuckerberg to testify in landmark social media trial,https://bbc.com/news/articles/cly2875013eo
"Our biggest competition is screens at home, says UK theme park boss",https://bbc.com/news/articles/crl2kz6w3zyo
Sport,https://www.bbc.com/sport
"Gyokeres makes Arsenal a much better team - ArtetaViktor Gyokeres ends a seven-game run without a goal by scoring twice against Atletico Madrid - and Mikel Arteta says the forward makes Arsenal ""much better"".",https://bbc.com/sport/football/articles/cly4dq9wkl8o
"43 goals, five reds, six penalties - one blockbuster evening",https://bbc.com/sport/football/articles/c1j8p5w0z7eo
How Newcastle's other forwards stepped up in Champions League,https://bbc.com/sport/football/articles/cjw92q97gllo
What did we learn from Rohl's Rangers unveiling?,https://bbc.com/sport/football/articles/cx24gqdlveqo
Latest Sport audio,https://www.bbc.com/audio/category/sport
FPL Podcast from BBC SportShould we banish Joao Pedro?,https://bbc.com/audio/play/p0m9yfy9
Football DailyUCL Debrief: A faultless night for Premier League sides in Europe,https://bbc.com/audio/play/p0m9z9mj
BBC Women's Football WeeklyJess Fishlock's Wales legacy & Kirsty Howat on Scotland ambitions,https://bbc.com/audio/play/p0m9xq28
More Than The ScoreBBC Women's Footballer of the Year 2025: the nominees,https://bbc.com/audio/play/p0m9x1nf
The Wayne Rooney ShowEpisode 19,https://bbc.com/audio/play/p0m7km99
"Football DailyMonday Night Club: Man United beat Liverpool, Dyche to Forest & Rohl to Rangers",https://bbc.com/audio/play/p0m9rx4c
Rugby Union WeeklyCaluori's five-star display and Willis walks,https://bbc.com/audio/play/p0m9rvkb
More Than The ScoreCecilia Braekhus: 'The First Lady' of boxing,https://bbc.com/audio/play/p0m9nsx4
Tech,https://www.bbc.com/innovation/technology
AWS outage: Are we relying too much on US big tech?Monday's enormous outage has sharpened the debate over whether the world is too reliant on a few US firms.,https://bbc.com/news/articles/c0jdgp6n45po
How the rise of green tech is feeding another environmental crisis,https://bbc.com/news/articles/c30741j351go
Jobseekers are spending more to get hired – but does it help?,https://bbc.com/worklife/article/20251020-the-growing-costs-of-applying-for-a-job
"'I am melting, help me': The website that transformed drug research",https://bbc.com/future/article/20251020-the-1990s-drug-website-that-changed-the-world
Science & health,https://www.bbc.com/innovation/science
Can shampoo repair hair? Four haircare myths get the chopThere are countless hair products and hacks circulating. Two trichologists bust four common haircare myths.,https://bbc.com/news/articles/c0lkrnzpzl1o
UK adds eight countries to methanol poisoning warning list,https://bbc.com/news/articles/c33p7vvyp2zo
Japan allows over-the-counter 'morning after' pill for first time,https://bbc.com/news/articles/c4gwxkdkyn0o
Your toothbrush is bristling with bacteria,https://bbc.com/future/article/20251017-why-you-might-want-to-clean-your-toothbrush-more
Culture,https://www.bbc.com/culture
"US chess grandmaster Daniel Naroditsky dies aged 29The young prodigy's ""unexpected passing"" was announced by his family on Monday.",https://bbc.com/news/articles/c15pz8vpjp9o
Can France retrieve its priceless crown jewels - or is it too late?,https://bbc.com/news/articles/ckgk0y97v0go
Hermès appoints British designer Grace Wales Bonner to lead menswear,https://bbc.com/news/articles/c3rjnqvv5qqo
'Awop-bop-aloobop alop-bam-boom!': Why Little Richard's Tutti Frutti was so risqué,https://bbc.com/culture/article/20251016-why-little-richards-tutti-frutti-was-so-risque
Arts,https://www.bbc.com/arts
"Why Mr Darcy isn't the romantic hero he seemsMostly miserable and even ""unforgivably cruel"", Jane Austen's famous romantic hero is not what he seems, writes the author Sebastian Faulks, in an exclusive extract.",https://bbc.com/culture/article/20250908-why-readers-are-wrong-about-mr-darcy
The art museum entirely dedicated to cats,https://bbc.com/reel/video/p06kws0b/the-art-museum-entirely-dedicated-to-cats
18 of the best books of 2025 so far,https://bbc.com/culture/article/20250619-the-best-books-of-2025
Why art robberies exploded in the 20th Century,https://bbc.com/culture/article/20251016-the-reason-art-heists-exploded-in-the-1970s
Watch,https://www.bbc.com/video
"Watch an incredible Lusotitan dinosaur mating ritualIn the prehistoric world, first impressions mattered, and sometimes a few moves could make all the difference.See more",https://bbc.com/reel/video/p0m9trt9/watch-an-incredible-lusotitan-mating-ritual
Travel,https://www.bbc.com/travel
A Zen monk's guide to the best gardens in TokyoShunmyo Masuno creates gardens that blend Zen philosophy with contemporary design. Here are his favourite green spaces in Tokyo – from cherry blossom havens to historical treasures.,https://bbc.com/travel/article/20251016-a-zen-monks-guide-to-the-best-gardens-in-tokyo
"Italy's smaller, smarter alternative to Venice",https://bbc.com/travel/article/20251016-italys-smaller-smarter-alternative-to-venice
The Icelandic town abandoned to the volcanoes,https://bbc.com/travel/article/20251015-the-icelandic-town-abandoned-to-the-volcanoes
Pomalo: Croatia's delightful philosophy of slow living,https://bbc.com/travel/article/20251015-croatias-delightful-philosophy-of-slow-living
World's Table,https://www.bbc.com/travel/worlds-table
"Why Marseille restaurants are offering gourmet food for €1In France's most diverse city, a new wave of restaurants is redefining fine dining by blending haute cuisine with community solidarity.",https://bbc.com/travel/article/20251013-the-french-city-where-you-can-eat-gourmet-food-for-one-euro
100 dishes in 40 days: India's epic wedding feast,https://bbc.com/travel/article/20251003-100-dishes-in-40-days-indias-epic-wedding-feast
The controversial snack that fuels Norwegian trips,https://bbc.com/travel/article/20250909-kvikk-lunsj-the-controversial-sweet-that-fuels-norwegians
Is cheese the new reason to travel?,https://bbc.com/travel/article/20250905-is-cheese-the-new-reason-to-travel
Earth,https://www.bbc.com/future-planet
Water firms to get automatic fines for sewage spills under new UK government plansThe plans would see automatic fines for some offences and the burden of proof lowered for others.,https://bbc.com/news/articles/c4gz7xyr2g7o
Almond-sized crab and tiny lantern shark discovered in Australia,https://bbc.com/news/articles/cly275d3dvdo
From Hollywood to horticulture: Cate Blanchett on a mission to save seeds,https://bbc.com/news/articles/cwy7ekl4yl8o
Mystery heatwave warms Pacific Ocean to new record,https://bbc.com/news/articles/ce3xynwwx4yo
Video,https://www.bbc.com/video
Is Wall Street’s optimism setting up another crash?Katty Kay speaks to Andrew Ross Sorkin about the ways that unchecked optimism can affect an economy.,https://bbc.com/reel/video/p0m9b37d/is-wall-street-s-optimism-setting-up-another-crash-
The race to unlock nature’s hidden secrets,https://bbc.com/reel/video/p0m8b80y/the-race-to-unlock-nature-s-hidden-secrets
Three films Aimee Lou Wood says will change your life,https://bbc.com/reel/video/p0m8kl2l/three-films-aimee-lou-wood-says-will-change-your-life
How giant murals are transforming cities worldwide,https://bbc.com/reel/video/p0m675y4/how-giant-murals-are-transforming-cities-worldwide
"Royal WatchThe full story on the Royal Family, in your inbox every Thursday.",https://cloud.email.bbc.com/RoyalWatch_Newsletter_SignUp?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=royalwatch&at_campaign_type=owned
Download the BBC appClick here to download the BBC app for Apple and Android devices.,https://www.bbc.com/pages/download-the-bbc-app
"US Politics UnspunNo noise. No agenda. Just expert analysis of the issues that matter most from Anthony Zurcher, every Wednesday.",https://cloud.email.bbc.com/US_Politics_Unspun_Newsletter_Signup?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=uselectionunspun&at_campaign_type=owned
Register for a BBC accountDon't have time to read everything right now? Your BBC account lets you save articles and videos for later.,https://account.bbc.com/auth/register/email?ab=o13&action=register&clientId=Account&context=international&isCasso=false&nonce=ZhRJnl8N-Nzg4mlepfcUAP3WaQY2IhgqHUUw&ptrt=https%3A%2F%2Fwww.bbc.com%2F&realm=%2F&redirectUri=https%3A%2F%2Fsession.bbc.com%2Fsession%2Fcallback%3Frealm%3D%2F&sequenceId=afd616da-9f13-432d-a54d-95c9f32d1f0b&service=IdRegisterService&userOrigin=BBCS_BBC
"Sign up for the Essential ListThe week's best stories, handpicked by BBC editors, in your inbox every Tuesday and Friday.",https://cloud.email.bbc.com/TheEssentialList_Newsletter_Signup?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=essentiallist&at_campaign_type=owned
